MapTitle DefaultMap
MapSize 20 18
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
1 17 1
2 17 1
3 17 1
4 17 1
5 17 1
6 17 1
7 17 1
8 17 1
9 17 1
10 17 1
11 17 1
12 17 1
13 17 1
14 17 1
15 17 1
16 17 1
17 17 1
18 17 1
19 17 1
19 1 1
19 2 1
19 3 1
19 4 1
19 5 1
19 6 1
19 7 1
19 8 1
19 9 1
19 10 1
19 11 1
19 12 1
19 13 1
19 14 1
19 15 1
19 16 1
5 3 2
5 6 2
5 9 2
5 12 2
5 15 2
